VARIETY,FIBER,MSTWT,POPN,TRS_TON,TCA,T_SPACRE
2000912,11.45437247,2.567255319,37221.76885,241.2824519,47.77889203,11528.20822
2000913,11.82586029,2.505206021,38549.19473,246.9097873,48.28683737,11922.49274
2000914,11.57390922,2.476307867,38086.49385,252.262763,47.15694217,11895.94053
2000915,12.20214579,2.302239698,50439.32982,226.2344377,58.06171373,13135.55916
2000916,12.14389131,2.500083932,40783.50851,243.6343706,50.98109716,12420.74752
2000917,12.45471298,2.296368504,41763.64391,246.1219141,47.95235824,11802.1262
2000918,12.51033564,2.193515725,48055.38092,228.3131301,52.70511686,12033.2702
2000919,11.75747012,2.219521763,48932.05077,234.2272425,54.3028758,12719.21286
2000920,12.2719732,2.483680092,39060.55477,250.0093608,48.50696113,12127.19435
2000921,12.29009179,2.384687432,39745.96571,251.1932237,47.39085245,11904.261
2000922,12.37240142,2.343896023,43374.19394,241.0747038,50.83230034,12254.38175
2000923,11.78794164,2.46585528,39022.3967,242.4701528,48.11179147,11665.67343
2000924,12.08527351,2.410244594,43793.40708,247.9235889,52.77641133,13084.51731
2000925,12.35306796,2.26272587,39344.36113,253.6709225,44.51275188,11291.59083
2000926,12.21092187,2.339665245,39911.8122,251.0282546,46.69013993,11720.54433
2000927,12.03558467,2.045037269,42910.89402,248.8040071,43.87718876,10916.82038
2000928,12.37563654,2.512110924,38038.31065,255.038412,47.77822786,12185.28336
2000929,12.39684943,2.30568855,43681.65996,247.5117759,50.35815161,12464.23554
2000930,12.01386839,2.095150027,41531.59671,251.6788741,43.50746298,10949.9093
2000931,11.93684234,2.51284459,37808.61207,244.3677239,47.50358315,11608.34249
2000932,11.96940046,2.627968393,37047.34696,253.0235165,48.67962843,12317.09077
2000933,11.82994818,2.312657705,40687.00427,242.906463,47.04755696,11428.15565
2000934,11.74771162,2.367036287,38854.6947,246.006,45.98523614,11312.644
2000935,12.1198576,2.427860002,40072.00214,244.437533,48.6446056,11890.56739
2000936,12.12884045,2.287598989,40318.41182,248.080348,46.11617906,11440.51775
2000937,12.3037799,2.454115592,39637.39489,256.5290199,48.63737441,12476.89799
2000938,12.19913254,2.492174817,38215.55847,251.0917881,47.61992622,11956.97242
2000939,12.03213772,2.306651093,41172.5026,249.3713622,47.48529906,11841.47371
2000940,12.0167892,2.473306699,38879.19361,254.0367798,48.080085,12214.10997
2000941,12.32503813,2.600051117,38053.24618,247.2326377,49.47019262,12230.64621
2000942,12.3438428,2.285089153,40164.06644,253.3571928,45.88923628,11626.36808
2000943,12.56481467,2.33459761,39644.47016,251.4303139,46.27694264,11635.42621
2000944,12.47350827,2.522877968,42104.17895,244.8139018,53.11185272,13002.5199
2000945,12.0115667,2.285647345,39635.1576,247.8854803,45.29599637,11228.21982
2000946,12.10944731,2.562047289,42382.91329,240.1952728,54.29351405,13041.04542
2000947,12.45001494,2.368438182,39193.3698,255.2149548,46.41353676,11845.42869
2000948,11.83100091,2.505182213,38391.69186,252.9435986,48.08909179,12163.82793
2000949,12.09355894,2.474405533,38249.09998,251.4485591,47.32189231,11899.02164
2000950,11.96420581,1.871068509,31528.57994,285.7083129,29.49606653,8427.271405
2000951,11.75501101,2.152446759,41848.77033,247.9875702,45.03862503,11169.01919
2000952,12.3326947,2.56246413,42099.02866,246.521742,53.93862542,13297.0439
2000953,11.87887336,2.498470687,38752.46407,254.0427483,48.41094776,12298.45022
2000954,12.54223182,2.285327281,44644.18438,245.4967889,51.01328625,12523.59797
2000955,12.45273062,2.253230198,49902.98211,227.3002508,56.22145313,12779.1504
2000956,11.89050447,2.282097263,44449.28509,244.7902704,50.71879592,12415.46777
2000957,12.27180554,2.448327498,39018.41142,249.1201972,47.7649248,11899.20749
2000958,12.45273062,2.455615219,43212.81945,247.8304501,53.05702855,13149.14727
2000959,12.42290792,2.436022367,41193.46518,246.2796152,50.17410128,12356.85836
2000960,11.92748618,2.29537187,40093.92457,238.605616,46.01523331,10979.49309
2000961,12.57634236,2.236632463,42533.70745,237.2462401,47.56613543,11284.88679
2001040,12.74167647,1.982378916,44591.28164,233.6240502,44.19840828,10325.81115
2001283,11.95833596,1.835523213,34670.37423,271.4875975,31.81913835,8638.501426
2001292,12.38764372,2.294494405,38569.00291,249.041574,44.24818069,11019.63657
2001299,12.27698908,1.843714069,35129.41329,266.0011837,32.38429676,8614.261271
2001500,11.78803961,2.291074976,40149.65866,247.9286071,45.99293913,11402.96533
2001501,12.31604971,2.441834529,46251.17193,241.7335682,56.46885431,13650.41765
2001502,11.47181141,2.282660395,46346.37489,249.3103778,52.89651721,13187.65069
2001503,12.22507234,2.447540803,45157.5871,242.0328781,55.2625185,13375.3464
2001504,12.08106938,2.398286726,45539.38098,242.4334445,54.60824646,13238.86529
2001505,12.04989603,2.516319571,41732.40351,247.0701651,52.50603185,12972.67396
2001506,11.8639507,2.244568673,41414.95987,242.1832244,46.47936076,11256.52146
2001507,11.74449336,2.356145763,38459.90926,236.899143,45.30857612,10733.56285
2001508,11.30604098,2.48057476,42016.49096,249.4133508,52.11252349,12997.5591
2001509,12.31604971,2.413790975,44271.38936,246.5291411,53.43094004,13172.28376
2001510,12.20172739,2.214999761,41099.06208,240.7814718,45.51720634,10959.69994
2001511,12.1579766,2.485368975,44152.95321,240.533066,54.86819003,13197.61397
2001512,12.23181959,2.200082565,47232.56567,238.7539216,51.95777212,12405.12185
2001513,12.64908528,2.23190567,46123.96822,239.2940392,51.4721731,12316.98421
2001514,12.12582172,2.424868449,43639.75079,238.0446086,52.91032741,12595.01818
2001515,11.86392706,2.24064575,48908.38673,226.245628,54.79318443,12396.71842
2001516,11.49283462,2.598618225,43443.81427,246.8330247,56.44694376,13932.96986
2001517,12.04370599,2.17706618,39507.49046,255.6869601,43.00521067,10995.87158
2001518,12.121923,2.4855089,42957.8853,240.1842942,53.38610312,12822.5035
2001519,12.41036874,2.351968617,44098.16545,244.3774412,51.8587506,12673.10878
